Name,Clan Name,Surname,Gender
Aarav,Kashyap,Sharma,Male
Arjun,Kuru,Verma,Male
Devendra,Vasistha,Singh,Male
Jayant,Bharadwaja,Jain,Male
Rahul,Gautam,Patel,Male
Aishwarya,Bharadwaja,Chatterjee,Female
Anika,Gupta,Reddy,Female
Divya,Angirasa,Iyer,Female
Kavya,Vasistha,Kulkarni,Female
Meera,Kashyap,Pillai,Female
Aditya,Kashyap,Shah,Male
Ayush,Kashyap,Rao,Male
Chetan,Bharadwaja,Kumar,Male
Hari,Angirasa,Mishra,Male
Kunal,Vasistha,Jha,Male
Nikhil,Gautam,Chopra,Male
Piyush,Kuru,Goswami,Male
Rohit,Kuru,Nair,Male
Varun,Bharadwaja,Sharma,Male
Yash,Vasistha,Agarwal,Male
Ananya,Bharadwaja,Desai,Female
Ishika,Kuru,Sharma,Female
Jaya,Vasistha,Kaur,Female
Neha,Gautam,Patel,Female
Priya,Kashyap,Mukherjee,Female
Riya,Angirasa,Chaudhary,Female
Sneha,Kuru,Garg,Female
Akash,Kuru,Sinha,Male
Aman,Gautam,Khan,Male
Deepak,Kashyap,Shukla,Male
Gaurav,Bharadwaja,Choudhary,Male
Himanshu,Vasistha,Mehta,Male
Karthik,Bharadwaja,Joshi,Male
Lokesh,Gautam,Sharma,Male
Mohit,Kashyap,Verma,Male
Nitin,Kuru,Srivastava,Male
Prakash,Vasistha,Pande,Male
Rajesh,Angirasa,Agarwal,Male
Saurabh,Gautam,Yadav,Male
Vikram,Bharadwaja,Das,Male
Anushka,Kashyap,Gupta,Female
Kritika,Kuru,Sharma,Female
Madhuri,Bharadwaja,Patel,Female
Nisha,Vasistha,Chawla,Female
Pooja,Gautam,Singh,Female
Radha,Kashyap,Mishra,Female
Sakshi,Angirasa,Agarwal,Female
Tanvi,Kuru,Gupta,Female
Vaishali,Vasistha,Jain,Female
Aditi,Bharadwaja,Chopra,Female
Harsha,Angirasa,Singh,Female
Jyoti,Gautam,Kaur,Female
Mansi,Kashyap,Verma,Female
Nidhi,Kuru,Gupta,Female
Pallavi,Vasistha,Mishra,Female
Rachana,Bharadwaja,Gupta,Female
Sapna,Kashyap,Rao,Female
Vandana,Kuru,Sharma,Female
Abhishek,Kuru,Choudhary,Male
Akhil,Gautam,Gupta,Male
